在	aut
恪	kakuxk
殻	kakuuy
確	kakuuf
鶴	kakund
罐	kamaff
釜	kamafa
窯	kamabh
竃	kamabp
鎌	kamajn
竃	kamadobp
竈	kamadobe
叺	kamasukn
框	kamatimw
瓶	kameqw
亀	kamedv
龜	kamepx
上	kamiaa
神	kamipa
守	kamibc
祇	kamipq
紙	kamisq
髪	kamivy
雷	kaminariyt
上	kaminoaa
裃	kamisimopd
鴨	kamona
鴎	kamomenk
鷗	kamomenk
髢	kamoziav
上	kamuraaa
禿	kamurohe
上	kanaa
感	kanxg
完	kanbe
管	kanvk
官	kanbk
寒	kanbd
甲	kanaa
康	kangn
霞	kanyy
冠	kanbc
姜	kanyn
棺	kanmk
刊	kanda
侃	kanrv
肝	kanou
勘	kanql
菅	kanck
缶	kanrk
缶	kanff
疳	kanbc
姦	kannn
寛	kanbj
巻	kanbv
幹	kanuu
槓	kanmb
渙	kandn
漢	kandn
澗	kando
燗	kanho
環	kanwy
癇	kanbo
簡	kanvo
艦	kanvm
観	kanrj
貫	kanbv
鑑	kanjm
閑	kanmm
間	kanmo
関	kanmd
韓	kanua
館	kanuk
金	kanarb
奏	kanafd
哉	kanakg
加	kanadalk
奏	kanadefd
中	kanaeaa
叶	kanaeku
鼎	kanaeov
鬲	kanaeaa
叶	kanaiku
蜩	kanakanaik
中	kanameaa
要	kanamexn
可	kanaridk
顔	kanbasela
金	kanerb
兼	kaneqn
矩	kaneua
攝	kanefe
鉦	kanejv
鐘	kaneja
蟹	kaniij
冠	kanmuribc
鉋	kannajv
閂	kannukima
上	kanoaa
庚	kanoegn
辛	kanotolu
和	kanouhk
叶	kanouku
簪	kanzasivo
薫	kaoch
顔	kaola
香	kaoriho
芳	kaoricf
郁	kaorieu
馨	kaoriuo
薫	kaorich
香	kaoruho
守	kaorubc
芳	kaorucf
郁	kaorueu
馨	kaoruuo
磬	kaoruuu
匂	kaorugv
薫	kaoruch
空	karabg
辛	karalu
殻	karauy
鹹	karaak
体	karadara
躯	karadaux
躰	karadaua
軀	karadauk
傘	karakasaru
杏	karamomomk
苧	karamusicd
苧	karamusica
辛	karasilu
烏	karasuph
鴉	karasuna
彼	karerp
鰈	kareiam
雁	kariif
狩	kariqc
刈	karidx
仮	kariry
猟	kariqa
苅	karicd
鴈	kariin
軽	karoit
緬	karusa
軽	karuit
嵩	kasaek
笠	kasavl
傘	kasaru
暈	kasaoi
毬	kasamd
瘡	kasabk
痂	kasabutabk
嵩	kasamiek
重	kasanepa
襲	kasanely
鵲	kasasaginc
柏	kasemb
枷	kasemk
綛	kasesx
樫	kasimt
橿	kasima
貸	kasibr
畏	kasikotn
俐	kasikord
賢	kasikobk
頭	kasiradb
柏	kasiwamb
槲	kasiwamu
栢	kasiwamb
幽	kasokeev
掠	kasufx
糟	kasumo
滓	kasudu
粕	kasumb
鎹	kasugaijz
霞	kasumiyy
絣	kasurisa
方	katawp
形	kataap
片	katapv
型	katata
肩	kataho
硬	kataun
固	katakk
渊	katada
劼	kataul
堅	katatk
塙	katatk
淵	katada
渕	katadd
潟	katadh
難	katacf
騙	katamc
象	katadodn
模	katagimd
仇	katakirj
敵	katakiwl
塊	katamaritg
筐	katamivw
刀	katanagp
語	katariyk
固	katasikk
剛	katasidk
堅	katasitk
確	katasiuf
形	katatiap
辱	katazikenaic
忝	katazikenaax
糅	katemm
糧	katema
徒	katirr
勝	katiol
鬨	katidokiab
癩	kattaibb
且	katuaa
活	katudk
克	katuue
喝	katukv
豁	katubk
勝	katuol
濶	katudk
克	katumiue
鰹	katuoat
桂	katuramt
鬘	katurapy
代	kaward
皮	kawavy
河	kawadk
替	kawaoa
川	kawapa
革	kawaca
側	kaward
瓦	kawaraad
獺	kawausoqb
厠	kawayaid
蛙	kawazuit
香	kaworiho
茅	kayacp
萱	kayaca
葭	kayacy
榧	kayama
栢	kayamb
通	kayoizs
痒	kayuby
粥	kayumg
風	kazaji
文	kazariwx
飾	kazariuj
風	kazeji
舵	kazivv
楫	kazime
柁	kazimv
梶	kazimm
齧	kazifi
鮖	kazikaau
鰍	kazikaah
一	kazuaa
和	kazuhk
数	kazuwm
鯑	kazunokoaj
葛	kazuracv
家	kebn
科	kehu
毛	kepv
卦	ketd
蹶	kezq
蹴	kezd
笥	kevk
褻	kewy
毳	kebamm
獣	kedamonoxq
穢	kegarehd
系	keips
形	keiap
兄	keike
京	keiwx
型	keita
景	keiox
敬	keiwc
佳	keirt
径	keirg
慧	keixf
刑	keida
卿	keipe
契	keidf
馨	keiuo
桂	keimt
奎	keidt
圭	keitt
奚	keivd
啓	keikh
恵	keixa
慶	keigw
渓	keidn
珪	keiwt
競	keile
経	keist
罫	keisd
蛍	keixi
螢	keihi
計	keiyu
軽	keiit
頚	keiyb
頸	keiva
獣	kemonoxq
煙	kemuht
烟	kemurihd
煙	kemuriht
件	kenrn
建	kenzv
研	kenuc
拳	kenbu
健	kenrz
乾	kenug
乾	kenau
兼	kenqn
遣	kenza
犬	kendd
券	kenbd
虔	kenhw
腱	kenoz
剣	kendd
圏	kenkv
堅	kentk
憲	kenbx
検	kenmn
権	kenmf
県	kenox
絢	kenso
謙	kenyn
賢	kenbk
軒	keniu
間	kenmo
険	kenen
顕	kenoa
験	kenmn
鳧	kerinj
決	ketdn
桁	ketamd
穴	ketubb
欠	ketudr
欠	ketufn
傑	keturm
決	ketudn
潔	ketuds
槁	keyakimk
槻	keyakimj
欅	keyakima
削	kezudx
梳	kezumv
来	kian
着	kiyo
生	kipf
己	kivv
奇	kidk
切	kiqd
喜	kiuk
黄	kicb
器	kikk
基	kitq
期	kiqo
木	kian
既	kivv
季	kihz
旗	kifb
忌	kixv
伐	kirg
葵	kicd
癸	kivd
帰	kiaj
斬	kiij
暉	kioi
樹	kimc
機	kimj
気	kiqx
氣	kirm
磯	kiud
紀	kisv
記	kiyv
貴	kiba
輝	kigi
騎	kimk
牙	kibaap
稷	kibihw
黍	kibihd
凜	kibisidh
踵	kibisuza
樵	kikorimh
菊	kikucm
鞠	kikugm
掬	kikufm
決	kimadn
公	kimibs
王	kimiat
君	kimivk
胆	kimooa
肝	kimoou
金	kimurb
金	kinrb
近	kinzj
禁	kinmx
欣	kinjq
均	kintd
琴	kinwv
筋	kinvl
斤	kinpa
菌	kinch
芹	kincj
欽	kinjq
錦	kinjj
杵	kinemu
甲	kinoeaa
菌	kinokoch
茸	kinokoce
乙	kinotogg
衣	kinuwy
絹	kinuso
砧	kinutauk
布	kireuj
切	kiriqd
限	kirien
桐	kirimk
錐	kirijf
霧	kiriyl
粁	kiromeetorumu
后	kisakipk
妃	kisakinv
岸	kisieu
軋	kisiiv
競	kisoule
鋒	kissakijf
鱚	kisuyk
北	kitaav
北	kitagataav
汚	kitanadg
穢	kitanahd
吉	kitiuk
橘	kitimk
橘	kitumk
狐	kituneqg
際	kiwaex
究	kiwamubj
極	kiwamuma
清	kiyodo
浄	kiyoda
澄	kiyomudd
清	kiyosido
精	kiyosimo
忠	kiyosixa
穆	kiyosihp
毅	kiyosily
靖	kiyosilo
廉	kiyosign
澄	kiyosidd
淳	kiyosidz
冽	kiyosidd
圭	kiyositt
洌	kiyosidd
浄	kiyosida
淨	kiyosida
渙	kiyosidn
潔	kiyosids
純	kiyosisv
聖	kiyosiwe
階	kizahasieb
雉	kiziuf
瑕	kizuwy
疵	kizubv
傷	kizurp
紲	kizunasv
絆	kizunasa
来	koan
子	kova
小	koad
高	kowk
娘	konn
黄	kocb
古	kouk
呼	koku
故	kowu
股	kooy
湖	kodo
胡	kouo
凝	kodr
孤	kozg
鼓	kouy
仔	korz
粉	komd
弧	kogg
蚕	koai
個	kork
児	koae
庫	kogi
戸	koau
濃	kodn
顧	koha
媚	kobino
翻	kobosipy
瘤	kobubt
腓	koburaoa
拳	kobusibu
谺	kodamaby
韻	kodamalb
拘	kodawafk
声	koeup
肥	koeov
金	koganerb
凩	kogarasijm
凝	kogodr
鞐	kohazegd
恋	koixw
鯉	koiaa
苔	kokeck
九	kokonopg
心	kokorodd
快	kokoroyoxn
志	kokorozasixu
国	kokukw
石	kokuak
刻	kokudw
谷	kokubk
酷	kokuyk
穀	kokuuy
困	komakm
狛	komaqb
駒	komamk
齣	komavk
細	komakast
米	komebm
込	komizr
菰	komocg
薦	komoch
隠	komoex
腓	komuraoa
金	konrb
今	konrv
近	konzj
根	konmn
婚	konno
欣	konjq
痕	konbn
昆	konov
崑	konev
崑	konev
懇	konxv
権	konmf
欽	konjq
紺	konsc
粉	konamd
好	konominz
高	koowk
凍	koodd
氷	koodd
興	koopb
郡	kooriev
氷	kooridd
之	koredn
梱	korimm
頃	koroaa
衣	koromowy
越	kosizv
腰	kosion
輿	kosipb
甑	kosikibw
轂	kosikiuy
拵	kosiraefz
擦	kosufx
狡	kosuqf
答	kotaevk
鏝	kotejy
鯒	kotiaa
事	kotoaa
言	kotowk
琴	kotowv
殊	kotodn
異	kototb
辞	kotobapu
詞	kotobayk
寿	kotobukifc
壽	kotobukiuc
理	kotowawa
断	kotowamj
理	kotowariwa
諺	kotowazayp
柱	kotozimw
骨	kotuko
好	kounz
后	koupk
行	kourd
神	koupa
向	koupk
高	kouwk
口	kouaa
光	kouxe
公	koubs
更	kouan
候	kouru
功	kougl
工	kouaa
江	koudg
黄	koucb
香	kouho
皇	koubw
科	kouhu
考	koutg
幸	koutu
校	koumf
抗	koufj
巧	kougg
甲	kouaa
孔	kouzv
康	kougn
港	koudv
浩	koudk
洪	koudb
晃	kouog
侯	kouru
劫	koutl
航	kouvj
宏	koubs
昂	kouoe
虹	kouig
恒	kouxa
後	kourw
孝	koutz
弘	kougs
凰	koujw
煌	kouhw
皓	koubk
稿	kouhk
耕	koula
嵩	kouek
庚	kougn
亘	kouaa
皎	koubf
効	kouwl
喬	koupk
広	kougs
廣	kougb
強	kougi
洸	koude
紅	kousg
紘	kouss
絋	kouss
興	koupb
講	kouya
貢	koubg
鉱	koujs
鋼	kouje
頁	kouba
項	kouga
鴻	koudn
頭	koubedb
被	koumupp
蒙	koumucn
鸛	kounotorinc
香	kouyatuho
楮	kouzimo
麴	kouzium
麴	kouziaa
糀	kouzimp
麹	kouzifm
楮	kouzomo
楮	kouzumo
恐	kowaxg
怖	kowaxj
強	kowagi
毅	kowasily
暦	koyomiio
越	koyuruzv
梢	kozuemo
苦	kuck
九	kupg
区	kukx
句	kugk
具	kuqb
躯	kuux
刳	kudd
繰	kusm
軀	kuuk
首	kubiqo
括	kubifk
頚	kubiyb
頸	kubiva
軛	kubikiiv
踵	kubisuza
凹	kuboaa
窪	kubodt
下	kudaad
管	kudavk
降	kudaea
件	kudanrn
行	kudarird
件	kudarirn
諄	kudoyz
陸	kugaet
釘	kugijd
潜	kugudo
鵠	kuguinn
杭	kuimj
杙	kuimd
杙	kuizemd
茎	kukicg
括	kukufk
阿	kumaek
熊	kumahs
隈	kumaen
粂	kumedm
汲	kumidn
組	kumisq
雲	kumoys
曇	kumorios
伍	kumurw
君	kunvk
勲	kunhp
訓	kunya
国	kunikw
邦	kunief
國	kunika
樟	kunugimu
椚	kunugimm
櫟	kunugimm
欅	kunugima
暗	kuraoo
藏	kuraca
蒙	kuracn
昏	kurapo
冥	kurabb
昧	kuraon
沌	kuradv
鞍	kuragn
倉	kurark
儚	kurard
庫	kuragi
曖	kuraow
瞹	kuraow
矇	kuraon
矇	kuraon
蔵	kuraca
闇	kuramo
鮓	kurageaa
位	kurairl
暮	kureco
呉	kurekb
紅	kurenaisg
栗	kurixm
厨	kuriyaic
黎	kurohd
黒	kurohh
鉄	kuroganejn
踝	kurubusizn
車	kurumaaa
枢	kururumx
郭	kuruwaew
廓	kuruwage
草	kusacu
臭	kusapq
腐	kusagr
瘡	kusabk
楔	kusabimd
嚔	kusamekr
叢	kusamuraay
鎖	kusarijb
曲	kuseaa
癖	kusebu
串	kusiaa
櫛	kusime
匣	kusigeka
梳	kusikezumv
糞	kusomb
楠	kusumu
樟	kusumu
擽	kusugufm
楠	kusunokimu
樟	kusunokimu
薬	kusuricm
嚔	kusyamikr
口	kutiaa
嘴	kutibasikj
喙	kutibasikn
唇	kutibiruik
梔	kutinasimv
蛇	kutinawaiv
屈	kutuuk
靴	kutugv
沓	kutudo
覆	kutugaexw
覆	kutugaerw
鞠	kutukugm
轡	kutuwaks
空	kuubg
桑	kuwaym
鍬	kuwajh
加	kuwaelk
抉	kuzifn
籤	kuzivg
鬮	kuziav
鯀	kuziraas
鯨	kuziraax
葛	kuzucv
屑	kuzuuo
崩	kuzureeo
客	kyakubk
脚	kyakuoe
居	kyouk
虚	kyoha
挙	kyoxu
許	kyoyu
局	kyokuuk
曲	kyokuaa
旭	kyokujo
極	kyokuma
教	kyouwt
香	kyouho
狂	kyouqw
境	kyoute
共	kyoucb
京	kyouwx
供	kyourb
凶	kyoukx
恭	kyoucx
姜	kyouyn
卿	kyoupe
馨	kyouuo
挟	kyoufn
杏	kyoumk
匡	kyoukw
協	kyouul
喬	kyoupk
強	kyougi
橋	kyoumk
経	kyoust
興	kyoupb
鏡	kyouje
饗	kyouuv
急	kyuuxd
九	kyuupg
球	kyuuwd
休	kyuurm
仇	kyuurj
旧	kyuuao
邱	kyuuep
笈	kyuuvn
灸	kyuuph
赳	kyuuza
亀	kyuudv
窮	kyuubg
級	kyuusn
給	kyuusk
鳩	kyuunj
一	laa
真	maub
魔	magg
混	madv
摩	magu
間	mamo
馬	maah
眩	mabayuos
幻	maborosivg
眩	mabuos
蔟	mabusicu
瞼	mabutaor
斑	madaraww
迄	madezr
窓	madoxb
望	madokaww
瞬	madokaoa
円	madokaaa
圓	madokakb
前	maeqd
迂	magaza
籬	magakivf
鉄	maganejn
回	magarikk
曲	magariaa
髷	mageaa
牧	magiwn
孫	magozs
鮪	maguroao
秣	magusahn
妹	mainn
米	maibm
参	maisp
舞	maira
枚	maiwm
毎	maira
詣	maiyo
賂	mainaibk
哩	mairuka
罷	makasp
賄	makanaibo
負	makebd
牧	makiwn
慎	makixb
薪	makicj
巻	makibv
槇	makimb
槙	makimb
蒔	makicc
一	makotoaa
心	makotodd
情	makotoxo
真	makotoub
最	makotooy
理	makotowa
信	makotork
精	makotomo
亮	makotowj
充	makotowe
尊	makotoqc
良	makotodn
丹	makotopa
忠	makotoxa
仁	makotore
允	makotose
慎	makotoxb
淳	makotodz
睦	makotoot
孚	makotozv
洵	makotodo
忱	makotoxv
恂	makotoxo
実	makotobn
寔	makotobr
惇	makotoxz
愼	makotoxb
眞	makotopb
純	makotosv
詢	makotoyo
誠	makotoyv
幕	makucj
膜	makuod
捲	makufv
捲	makubv
枕	makuramv
侭	mamard
儘	mamarm
儘	mamarm
豆	mameaq
塗	mamitd
猯	mamiqa
守	mamobc
護	mamoyc
守	mamoribc
主	mamorudw
守	mamorubc
葵	mamorucd
衛	mamorurd
衞	mamorurd
調	mamoruyk
護	mamoruyc
鎮	mamorujb
蝮	mamusiiw
万	manap
満	mandk
愛	manavw
学	manabuxz
學	manabuzp
俎	manaitarq
眼	manakoon
眦	manaziriov
卍	manzixx
希	marexj
稀	marehj
希	marenixj
鞠	marigm
毬	marimd
海	marindd
麿	marogk
丸	marugd
円	maruaa
団	marukc
圓	marukb
團	marukc
正	masaav
政	masawa
雅	masaaf
昌	masaoo
匡	masakw
柾	masakimv
操	masaofm
大	masaruan
多	masarupd
当	masaruxe
将	masarudc
克	masaruue
政	masaruwa
英	masarucn
雅	masaruaf
秀	masaruhp
良	masarudn
健	masarurz
督	masaruoa
卓	masaruau
勉	masarudl
昌	masaruoo
捷	masarufr
哲	masarukf
傑	masarurm
優	masarurw
勝	masaruol
將	masarudc
潤	masarudw
覧	masarujk
賞	masarubx
賢	masarubk
長	masaruan
将	masasidc
正	masasiav
理	masasiwa
政	masasiwa
雅	masasiaf
仁	masasire
昌	masasioo
匡	masasikw
籬	masevf
増	masito
猿	masiraqy
升	masupc
益	masumq
舛	masupa
増	masuto
枡	masuma
鱒	masuac
澄	masumidd
純	masumisv
丈	masuoan
又	matavn
全	matarw
股	mataoy
亦	matawd
叉	matayd
跨	matagazg
待	matirc
街	matird
町	matitd
襠	matipt
的	matobd
纏	matoist
纒	matoist
松	matums
奉	matufa
末	matuan
祭	matupx
祷	matupc
祀	matupv
睫	matugeor
祭	maturipx
政	maturigotowa
回	mawakk
廻	mawazk
廻	mawarizk
眉	mayuvo
繭	mayuci
黛	mayuzumihr
拙	mazufk
眼	meon
目	meka
芽	mecp
蓍	medogico
米	meetorubm
回	megukk
慈	meguxq
巡	meguzv
廻	meguzk
恵	meguxa
希	megumixj
恩	megumixk
慈	megumixq
惠	megumixa
恵	megumixa
愛	megumivw
萠	megumico
惠	megumuxa
萌	megumuco
徳	megumurx
恵	megumuxa
愛	megumuvw
潤	megumudw
萠	megumuco
廻	megurizk
巡	meguruzv
明	meioo
名	meipk
命	meire
迷	meizm
盟	meimo
冥	meibb
姪	meint
銘	meijk
鳴	meink
妾	mekakeln
捲	mekufv
捲	mekubv
盲	mekurawo
面	menaa
免	mendv
綿	mensj
麺	menfa
飯	mesiuy
盲	mesiiwo
雌	mesuvf
牝	mesunv
娶	metone
滅	metuda
看	miuo
身	mipp
未	mian
味	mikn
魅	mign
巳	mivv
箕	mivb
実	mibn
見	mioe
視	mipj
覧	mijk
観	mirj
覽	mijk
觀	miyj
診	miyp
碧	midoriuw
翠	midoriyu
緑	midorisd
翆	midoriyu
瑞	miduhowa
磨	migakugu
琢	migakuwn
右	migiuk
砌	migiriud
汀	migiwadd
渚	migiwado
帝	mikadolj
幹	mikiuu
樹	mikimc
幹	mikiouu
巫	mikogr
尊	mikotoqc
勅	mikotonorial
詔	mikotonoriyk
耳	mimiaa
明	minoo
民	minvq
敏	minwr
泯	mindq
旻	minow
鳴	minnk
皆	minaba
漲	minagidn
鏖	minagorosilj
南	minamiuu
陽	minamiep
源	minamotodx
港	minatodv
湊	minatodd
峰	mineef
峯	mineef
嶺	mineea
亜	minikuaa
醜	minikuvg
皆	minnaba
箕	minovb
稔	minohx
蓑	minocy
実	minobn
簑	minovy
法	minorids
熟	minorihw
稔	minorihx
穂	minorihx
農	minorian
年	minorura
秀	minoruhp
登	minorudv
穗	minoruhx
稔	minoruhx
穰	minoruhy
実	minorubn
實	minorubb
満	minorudk
穂	minoruhx
穣	minoruhy
豊	minoruad
澪	miodd
粍	mirimeetorumm
見	miruoe
鶚	misagonk
崎	misakiek
岬	misakiea
操	misaofm
節	misaove
陵	misasagiew
操	misawofm
節	misawove
店	misegk
晦	misood
禊	misogipd
簾	misuvn
三	mitae
道	mitizq
通	mitizs
路	mitizk
迪	mitiza
途	mitizr
倫	mitirc
實	mitibb
惣	mitixn
充	mitiruwe
満	mitirudk
認	mitomuyx
光	mituxe
密	mitube
充	mituwe
蜜	mitubi
満	mitudk
調	mitugiyk
貢	mitugibg
献	mituguuq
税	mituguhe
貢	mitugubg
中	mituruaa
光	mituruxe
望	mituruww
充	mituruwe
富	miturubt
盈	miturumg
溢	miturudm
満	miturudk
滿	miturudr
統	mituruse
光	mitusixe
宮	miyabk
雅	miyabiaf
都	miyakoet
京	miyakowx
造	miyatukozn
幸	miyukitu
短	mizikaud
侏	mizikarn
渠	mizomd
溝	mizoda
霙	mizoreyb
水	mizuan
瑞	mizuwa
瑞	mizuhowa
蹼	mizukakizn
壬	mizunoepu
癸	mizunotovd
蛟	mizutiif
湖	mizuumido
模	momd
盛	momg
漏	modd
裳	moxy
藻	mocm
喪	moun
洩	modp
悶	modaemx
戻	modohd
萌	moeco
萠	moeco
潜	mogudo
艾	mogusacx
畚	mokkost
目	mokuka
木	mokuan
睦	mokuot
杢	mokumg
樅	momimr
籾	momimd
椛	momizimp
百	momoab
股	momooy
腿	momooz
桃	momomd
文	monwx
問	monmk
悶	monmx
紋	monsw
門	monaa
匁	monmegn
者	monoto
物	mononp
懶	monogusaxb
懶	monouxb
蛻	monukeie
貰	moraibc
守	moribc
森	morimm
杜	morimt
盛	morimg
銛	morijk
脆	moroov
師	moropj
諸	moroyo
醪	moromiyp
甕	motaiww
望	motiww
糯	motima
餅	motiuc
黐	motips
下	motoad
本	motoaa
元	motoee
基	mototq
素	motofs
悖	motoxz
許	motoyu
髻	motodoriak
基	motoitq
宗	motoibx
幹	motokiuu
求	motomead
求	motomuad
欣	motomujq
創	motomudr
廻	motoozk
基	motositq
資	motosibd
猛	mouqm
毛	moupv
網	mousv
靄	moyayv
捩	mozifq
鵙	mozunb
無	murh
宜	mubebq
徒	mudarr
麦	mugifw
麥	mugiad
惨	mugoxp
酷	mugoyk
葎	muguraca
六	muiwb
向	mukaepk
迎	mukaezp
向	mukaipk
迎	mukaizp
昔	mukasico
婿	mukono
壻	mukoto
聟	mukoeu
向	mukoupk
椋	mukumx
尨	mukuud
尨	mukuinuud
椋	mukunokimx
躯	mukuroux
骸	mukurogr
軀	mukurouk
胸	muneok
宗	munebx
旨	munepo
棟	munemd
村	muramc
斑	muraww
紫	murasakisv
群	murevy
室	murotb
貪	musabobr
咽	musekd
虫	musiad
毟	musixm
筵	musirovv
蓆	musirocj
結	musubusk
娘	musumenn
鞭	mutign
笞	mutivk
睦	mutuot
睦	mutumiot
貉	muzinavk
狢	muzinaqk
難	muzukasicf
脈	myakuon
名	myoupk
妙	myounp
那	naev
生	napf
成	nagv
名	napk
亡	nawv
奈	nadx
菜	nacm
為	nadh
無	narh
鳴	nank
鍋	nabejk
嬲	nabunl
灘	nadadf
等	nadovc
苗	naect
永	nagadn
曼	nagaoy
酉	nagaxa
呂	nagakk
脩	nagaro
脩	nagaro
長	nagaan
轅	nagaeiy
流	nagaredv
凪	nagijv
梛	nagime
薙	nagicf
汀	nagisadd
渚	nagisado
殴	naguky
撲	nagufd
内	naiad
中	nakaaa
仲	nakara
半	nakababa
央	nakabaan
媒	nakadatinm
修	nakasirp
生	namapf
腥	namagusaoa
訛	namariyv
鉛	namarijk
膾	namasuoo
鱠	namasuao
癜	namazuby
鯰	namazuax
行	namekatard
滑	nameradg
波	namidp
浪	namidn
並	namiqa
泪	namidado
涙	namidadd
何	nanrk
南	nanuu
男	nantl
楠	nanmu
難	nancf
七	nanaav
何	nanirk
某	nanigasicm
七	nanoav
汝	nanzidn
爾	nanziax
直	naouq
治	naodk
巨	naoka
尚	naoxk
猶	naoqy
直	naosiuq
楢	naramy
也	narivv
成	narigv
形	nariap
為	naridh
成	narugv
情	nasakexo
梨	nasimh
擦	nasufx
茄	nasuck
夏	natuaw
棗	natumean
納	nausd
縄	nawasv
畷	nawatety
謎	nazoyz
薺	nazunaca
子	neva
音	nelo
根	nemn
寝	neby
値	nerv
錬	nejn
粘	nebamk
舐	nebupq
姉	neena
願	negaiia
葱	negicx
塒	neguratc
猫	nekoqt
睡	nemuoa
眠	nemuoq
眠	nemurioq
年	nenra
念	nenxr
稔	nenhx
煉	nerihd
練	nerisn
熱	netht
熱	netuht
閨	neyamt
螺	neziis
拗	nezifl
捻	nezifx
捩	nezifq
鼠	nezumipv
二	niaa
似	nirr
尼	niuv
丹	nipa
荷	nick
煮	niht
煎	nihq
烹	nihw
爾	niax
鈍	nibujv
沸	nieda
贄	niebt
苦	nigack
和	nigihk
握	nigift
賑	nigiwaibn
濁	nigodi
新	niilj
丹	niipa
膠	nikawaop
肉	nikuar
憎	nikuxo
悪	nikuxa
難	nikucf
人	ninpn
任	ninru
忍	ninxd
蜷	ninaiv
鳰	nionr
臭	nioipq
匂	nioigv
韮	niraca
楡	niremv
偽	niserh
贋	niseib
西	nisiaa
螺	nisiis
錦	nisikijj
鯡	nisinaa
鰊	nisinan
日	nitka
日	nitika
庭	niwagz
俄	niwakard
潦	niwatazumidx
鶏	niwatorinv
虹	niziig
廿	nizyuuaa
之	nodn
野	noaa
乗	nopn
盧	nohm
載	noig
延	nobezp
暢	noberuap
暢	nobiap
伸	nobirura
上	noboaa
登	nobodv
昇	nobooc
昇	nobooa
登	noboridv
幟	noborijg
昇	noborioc
昇	noborioa
上	noboruaa
望	noboruww
伸	noborura
升	noborupc
登	noborudv
晃	noboruog
敲	noboruwy
昂	noboruoe
襄	noboruwy
暹	noboruzo
陟	noboruep
峯	noboruef
昇	noboruoc
昇	noboruoa
曻	noboruoa
東	noboruan
陽	noboruep
騰	noboruom
信	noburk
伸	nobura
延	nobuzp
靖	nobulo
矗	nobuua
惣	nobuxn
暢	nobuap
総	nobuxx
展	noburuun
伸	noburura
敍	noburury
咽	nodokd
喉	nodoku
禾	nogipm
軒	nokiiu
残	nokodg
遺	nokoza
鋸	nokojk
鋸	nokogirijk
蚤	nomiyi
咽	nondokd
罵	nonosims
程	norihw
宣	noriba
糊	norimo
典	noriab
矩	noriua
則	noridb
紀	norisv
謙	noriyn
鈍	norojv
呪	noroike
詛	noroiyq
後	notirw
能	nousv
濃	noudn
脳	nouok
膿	nouon
農	nouan
除	nozokieh
莅	nozokicl
望	nozomiww
希	nozomixj
望	nozomuww
希	nozomuxj
臨	nozomukk
鵺	nuewn
絵	nuiss
縫	nuisz
糠	nukamn
緯	nukisa
貫	nukibv
温	nukudm
沼	numadk
絖	numese
布	nunouj
濡	nureda
塗	nuritd
温	nurudm
幣	nusajx
主	nusidw
垈	nutatr
尿	nyouud
繞	nyouse
饒	nyouue
入	nyuupn
小	oad
麻	ogm
雄	ouf
御	ore
尾	oum
織	osg
苧	ocd
苧	oca
帯	obifj
怯	obiexs
朧	oborool
躍	odozf
踊	odoriza
棘	odoroan
驚	odorokicm
驚	odorokucm
縅	odosisn
荻	ogich
翁	oginaby
奢	ogodo
驕	ogomk
老	oitv
笈	oivn
甥	oinl
陵	okaew
丘	okapa
岡	okakk
陸	okaet
徒	okatirr
桶	okema
朮	okeramd
奥	okipd
燠	okihn
沖	okida
熾	okihb
興	okipb
翁	okinaby
掟	okitefr
起	okozv
怒	okoxn
煽	okohy
瘧	okoriba
起	okosizv
怠	okotaxs
送	okuzq
奥	okupd
臆	okuox
億	okurx
贈	okubo
衽	okumipu
袵	okumipu
諡	okurinaym
面	omoaa
主	omodw
重	omopa
俤	omokagerp
趣	omomukizy
慮	omonbakahx
阿	omoneek
慮	omonpakahx
錘	omorija
面	omoteaa
表	omotefy
音	onlo
恩	onxk
苑	oncv
雄	ondoriuf
鬼	onips
女	onnava
斧	onofj
己	onorevv
大	ooan
多	oopd
巾	ooaa
衆	ooxn
鳳	oodorijh
鴻	oodoridn
鵬	oodorion
扇	oogihy
荻	oogich
狼	ookamiqn
豪	oosutorariawn
鳳	ootorijh
鴻	ootoridn
鵬	ootorion
公	ooyakebs
俺	orerv
折	orifj
檻	orimm
澱	oridy
織	orisg
卸	orosier
颪	orosiai
筬	osavg
長	osaan
押	osaefa
納	osamesd
一	osamuaa
道	osamuzq
理	osamuwa
平	osamuau
士	osamuua
收	osamuwv
整	osamuav
易	osamuop
修	osamurp
攻	osamuwg
治	osamudk
医	osamuku
乃	osamugp
磨	osamugu
税	osamuhe
靖	osamulo
宰	osamubu
敦	osamuww
耕	osamula
収	osamuvy
攝	osamufe
紀	osamusv
納	osamusd
統	osamuse
縮	osamusb
脩	osamuro
脩	osamuro
論	osamuya
長	osamuan
順	osamupa
幼	osanavl
稚	osanahf
忍	osixd
唖	osika
啞	osika
鴛	osidorind
教	osiewt
晏	osoon
晩	osoov
獺	osoqb
輓	osoiv
遅	osozy
襲	osoily
恐	osorexg
虞	osorehd
仰	ossiyare
雄	osuuf
牡	osunt
落	otick
陥	otiieo
音	otolo
男	otokotl
漢	otokodn
囮	otorikp
弟	otoutobp
夫	ottoan
乙	otugg
王	ouat
欧	oukq
奥	oupd
汪	oudw
旺	ouow
凰	oujw
翁	ouby
墺	outd
歐	oukq
扇	ougihy
朸	ougoml
媼	ounanm
嫗	ounank
麋	ousikalm
樗	outimg
終	owasd
